com/google/common/collect/AbstractMapBasedMultimap$WrappedCollection	addAll	(Ljava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedCollection	clear	()V	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedCollection	clear	()V	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedCollection	removeAll	(Ljava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedCollection	removeAll	(Ljava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedCollection	retainAll	(Ljava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedCollection	retainAll	(Ljava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedList	addAll	(ILjava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedList	addAll	(ILjava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedSet	removeAll	(Ljava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$200(Lcom/google/common/collect/AbstractMapBasedMultimap;)I
com/google/common/collect/AbstractMapBasedMultimap$WrappedSet	removeAll	(Ljava/util/Collection;)Z	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultimap::access$202(Lcom/google/common/collect/AbstractMapBasedMultimap;I)I
com/google/common/collect/AbstractMapBasedMultiset	access$000	(Lcom/google/common/collect/AbstractMapBasedMultiset;)J	GET_FIELD	com/google/common/collect/AbstractMapBasedMultiset::size|J
com/google/common/collect/AbstractMapBasedMultiset	access$002	(Lcom/google/common/collect/AbstractMapBasedMultiset;J)J	GET_FIELD	com/google/common/collect/AbstractMapBasedMultiset::size|J
com/google/common/collect/AbstractMapBasedMultiset$1	remove	()V	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultiset::access$000(Lcom/google/common/collect/AbstractMapBasedMultiset;)J
com/google/common/collect/AbstractMapBasedMultiset$1	remove	()V	INVOKE_STATIC	com/google/common/collect/AbstractMapBasedMultiset::access$002(Lcom/google/common/collect/AbstractMapBasedMultiset;J)J
