io/netty/handler/codec/dns/DnsRawRecord	touch	(Ljava/lang/Object;)Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsRawRecord::touch(Ljava/lang/Object;)Lio/netty/handler/codec/dns/DnsRawRecord;
io/netty/handler/codec/dns/DnsResponse	addRecord	(Lio/netty/handler/codec/dns/DnsSection;ILio/netty/handler/codec/dns/DnsRecord;)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::addRecord(Lio/netty/handler/codec/dns/DnsSection;ILio/netty/handler/codec/dns/DnsRecord;)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	addRecord	(Lio/netty/handler/codec/dns/DnsSection;Lio/netty/handler/codec/dns/DnsRecord;)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::addRecord(Lio/netty/handler/codec/dns/DnsSection;Lio/netty/handler/codec/dns/DnsRecord;)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	clear	()Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::clear()Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	clear	(Lio/netty/handler/codec/dns/DnsSection;)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::clear(Lio/netty/handler/codec/dns/DnsSection;)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	retain	()Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::retain()Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	retain	()Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::retain()Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	retain	(I)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::retain(I)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	retain	(I)Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::retain(I)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	setId	(I)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::setId(I)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	setOpCode	(Lio/netty/handler/codec/dns/DnsOpCode;)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::setOpCode(Lio/netty/handler/codec/dns/DnsOpCode;)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	setRecord	(Lio/netty/handler/codec/dns/DnsSection;Lio/netty/handler/codec/dns/DnsRecord;)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::setRecord(Lio/netty/handler/codec/dns/DnsSection;Lio/netty/handler/codec/dns/DnsRecord;)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	setRecursionDesired	(Z)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::setRecursionDesired(Z)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	setZ	(I)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::setZ(I)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	touch	()Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::touch()Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	touch	()Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::touch()Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	touch	(Ljava/lang/Object;)Lio/netty/handler/codec/dns/DnsMessage;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::touch(Ljava/lang/Object;)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsResponse	touch	(Ljava/lang/Object;)Lio/netty/util/ReferenceCounted;	INVOKE_STATIC	io/netty/handler/codec/dns/DnsResponse::touch(Ljava/lang/Object;)Lio/netty/handler/codec/dns/DnsResponse;
io/netty/handler/codec/dns/DnsSection	$values	()[Lio/netty/handler/codec/dns/DnsSection;	GET_STATIC_FIELD	io/netty/handler/codec/dns/DnsSection::ADDITIONAL|Lio/netty/handler/codec/dns/DnsSection;
io/netty/handler/codec/dns/DnsSection	$values	()[Lio/netty/handler/codec/dns/DnsSection;	GET_STATIC_FIELD	io/netty/handler/codec/dns/DnsSection::ANSWER|Lio/netty/handler/codec/dns/DnsSection;
io/netty/handler/codec/dns/DnsSection	$values	()[Lio/netty/handler/codec/dns/DnsSection;	GET_STATIC_FIELD	io/netty/handler/codec/dns/DnsSection::AUTHORITY|Lio/netty/handler/codec/dns/DnsSection;
io/netty/handler/codec/dns/DnsSection	$values	()[Lio/netty/handler/codec/dns/DnsSection;	GET_STATIC_FIELD	io/netty/handler/codec/dns/DnsSection::QUESTION|Lio/netty/handler/codec/dns/DnsSection;
io/netty/handler/codec/dns/DnsSection	<clinit>	()V	INVOKE_STATIC	io/netty/handler/codec/dns/DnsSection::$values()[Lio/netty/handler/codec/dns/DnsSection;
