org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$7	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Ljava/lang/Throwable;)Ljava/lang/Throwable;	INVOKE_VIRTUAL	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	CONSTANT	 type: class java.lang.String; value: Could not abort Mongo transaction for session %s.
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_SPECIAL	org/springframework/transaction/TransactionSystemException::<init>(Ljava/lang/String;Ljava/lang/Throwable;)V
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	java/lang/String::format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	org/springframework/data/mongodb/ReactiveMongoTransactionManager::debugString(Lcom/mongodb/reactivestreams/client/ClientSession;)Ljava/lang/String;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_STATIC	reactor/core/publisher/Mono::error(Ljava/lang/Throwable;)Lreactor/core/publisher/Mono;
org/springframework/data/mongodb/ReactiveMongoTransactionManager	lambda$null$9	(Lorg/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject;Lcom/mongodb/MongoException;)Lreactor/core/publisher/Mono;	INVOKE_VIRTUAL	org/springframework/data/mongodb/ReactiveMongoTransactionManager$ReactiveMongoTransactionObject::getSession()Lcom/mongodb/reactivestreams/client/ClientSession;
org/springframework/data/mongodb/SessionSynchronization	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/SessionSynchronization::ALWAYS|Lorg/springframework/data/mongodb/SessionSynchronization;
org/springframework/data/mongodb/SessionSynchronization	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/SessionSynchronization::NEVER|Lorg/springframework/data/mongodb/SessionSynchronization;
org/springframework/data/mongodb/SessionSynchronization	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/SessionSynchronization::ON_ACTUAL_TRANSACTION|Lorg/springframework/data/mongodb/SessionSynchronization;
org/springframework/data/mongodb/core/BulkOperations$BulkMode	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/BulkOperations$BulkMode::ORDERED|Lorg/springframework/data/mongodb/core/BulkOperations$BulkMode;
org/springframework/data/mongodb/core/BulkOperations$BulkMode	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/BulkOperations$BulkMode::UNORDERED|Lorg/springframework/data/mongodb/core/BulkOperations$BulkMode;
org/springframework/data/mongodb/core/ChangeStreamOptions$Resume	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/ChangeStreamOptions$Resume::RESUME_AFTER|Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;
org/springframework/data/mongodb/core/ChangeStreamOptions$Resume	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/ChangeStreamOptions$Resume::START_AFTER|Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;
org/springframework/data/mongodb/core/ChangeStreamOptions$Resume	<clinit>	()V	GET_STATIC_FIELD	org/springframework/data/mongodb/core/ChangeStreamOptions$Resume::UNDEFINED|Lorg/springframework/data/mongodb/core/ChangeStreamOptions$Resume;
org/springframework/data/mongodb/core/DefaultBulkOperations	computeUpdateOptions	(Lorg/springframework/data/mongodb/core/query/Query;Lorg/springframework/data/mongodb/core/query/UpdateDefinition;Z)Lcom/mongodb/client/model/UpdateOptions;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/DefaultBulkOperations	remove	(Lorg/springframework/data/mongodb/core/query/Query;)Lorg/springframework/data/mongodb/core/BulkOperations;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/DefaultBulkOperations	replaceOne	(Lorg/springframework/data/mongodb/core/query/Query;Ljava/lang/Object;Lorg/springframework/data/mongodb/core/FindAndReplaceOptions;)Lorg/springframework/data/mongodb/core/BulkOperations;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	getIndexInfo	()Lreactor/core/publisher/Flux;	INVOKE_VIRTUAL	java/lang/Object::getClass()Ljava/lang/Class;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$null$0	(Ljava/lang/Class;)Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	GET_FIELD	org/springframework/data/mongodb/core/DefaultReactiveIndexOperations::queryMapper|Lorg/springframework/data/mongodb/core/convert/QueryMapper;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$null$0	(Ljava/lang/Class;)Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	INVOKE_INTERFACE	org/springframework/data/mapping/context/MappingContext::getRequiredPersistentEntity(Ljava/lang/Class;)Lorg/springframework/data/mapping/PersistentEntity;
org/springframework/data/mongodb/core/DefaultReactiveIndexOperations	lambda$null$0	(Ljava/lang/Class;)Lorg/springframework/data/mongodb/core/mapping/MongoPersistentEntity;	INVOKE_VIRTUAL	org/springframework/data/mongodb/core/convert/QueryMapper::getMappingContext()Lorg/springframework/data/mapping/context/MappingContext;
